artist,album,albumyear,genre,bayesian,votes,rating,played
A Liquid Landscape,Nightingale Express,2012,Crossover Prog ,4.00,7,3.93,30
A Liquid Landscape,The Largest Fire Known To Man,2014,Crossover Prog,4.00,5,3.90,8
A Perfect Circle,eMOTIVe,2004,"Progressive Metal, Goth Doom",3.89,71,3.81,263
A Perfect Circle,Thirteenth Step,2003,"Progressive Metal, Goth Doom",4.19,104,4.28,547
A Perfect Circle,Mer de Noms,2000,"Progressive Metal, Goth Doom",4.25,90,4.38,425
A Perfect Day,The Deafening Silence,2016,"Progressive Metal, Melodic Metal",0.00,0,0.00,5
A Sense of Gravity,A Sense of Gravity,2011,"Death Metal, Heavy Fusion, Progressive Metal, Djent",3.94,14,3.68,18
A.C.T,Imaginary Friends,2001,"Progressive Rock, Eclectic Prog",3.94,100,3.91,372
A.C.T,Silence,2006,"Progressive Rock, Eclectic Prog",4.18,168,4.23,728
A.C.T,Today's Report,1999,"Progressive Rock, Eclectic Prog",4.22,151,4.29,696
A.C.T,Circus Pandemonium,2014,"Progressive Rock, Eclectic Prog",4.29,50,4.57,162
A.C.T,Last Epic,2003,"Progressive Rock, Eclectic Prog",4.33,281,4.38,1515
A((wake)),Northern Lights,2007,"Progressive Metal, Technical Metal",4.14,116,4.19,524
A|symmetry,Room 17: Hours Between Shadows And Light,2012,Progressive Metal,3.96,9,3.67,40
Aardvark',Tuntematon Sotilas,2005,"Progressive Rock, Crossover Prog",4.02,56,4.02,319
Aaron English,The Marriage of the Sun and the Moon,2007,Progressive Rock,3.94,29,3.81,78
Aaron English,All The Waters Of This World,2002,Progressive Rock,4.09,25,4.24,103
Abarax,Crying of the whales,2005,"Progressive Rock, Symphonic",4.02,52,4.02,298
Abel Ganz,Back From The Zone,2001,"Neo-Prog, Progressive Rock",3.95,31,3.85,58
Abel Ganz,Abel Ganz,2014,"Neo-Prog, Progressive Rock",3.96,11,3.73,25
Abel Ganz,The Dangers of Strangers : 20th anniversary edition,1988,"Neo-Prog, Progressive Rock",4.05,57,4.08,204
Abel Ganz,Shooting Albatross,2008,"Neo-Prog, Progressive Rock",4.07,87,4.10,209
Abigail's Ghost,Unmastered,2014,"Progressive Rock, PT Influenced",3.95,12,3.67,12
Abigail's Ghost,Selling Insincerity,2007,"Progressive Rock, PT Influenced",4.11,132,4.15,359
Abigail's Ghost,D_letion,2009,"Progressive Rock, PT Influenced",4.20,141,4.26,509
Abnormal Thought Patterns,Altered States of Consciousness,2015,"Progressive Metal, Technical Metal",4.00,10,3.90,14
Abnormal Thought Patterns,Abnormal Thought Patterns,2011,"Progressive Metal, Technical Metal",4.00,21,3.98,27
Abnormal Thought Patterns,Manipulation Under Anesthesia,2013,"Progressive Metal, Technical Metal",4.04,21,4.10,43
Above Symmetry,Ripples,2010,"Progressive Metal, Melodic Metal",4.00,53,3.98,167
Absolace,Absolace,2009,"Progressive Rock, PT Influenced",4.06,25,4.14,251
Abstract Shadows,Symphony of Hakel,2007,Progressive Metal,3.96,54,3.92,124
Abydos,Abydos (Andy Kuntz),2004,"Progressive Metal, Melodic Metal",4.31,203,4.38,1422
Acacia Avenue,Acacia Avenue,2009,"Progressive Metal, Melodic Metal",3.93,29,3.79,40
Accordo Dei Contrari,Kinesis,2007,Fusion,3.89,46,3.75,89
Acid Empire,Acid Empire,2014,"Progressive Metal, Symphonic",4.03,2,4.50,17
Acid Empire & David Stanton,Only The Weak/Denial,2010,Progressive Metal,4.01,3,4.00,2
Acid Rain,Game of life,2007,"Progressive Metal, Technical DTI",4.01,2,4.00,13
Acid Rain,Game of life,2007,Progessive Rock,4.03,7,4.14,8
Acid Rain,Worlds Apart EP,2008,"Progressive Metal, Technical DTI",4.07,14,4.25,35
Adagio,Underworld,2003,"Progressive Metal, Power Metal, Neo Classical",0.00,0,0.00,1124
Adagio,Archangels In Black,2009,"Progressive Metal, Power Metal, Neo Classical",3.91,77,3.85,190
Adagio,A Band In Upperworld- Live,2004,"Progressive Metal, Power Metal, Neo Classical",4.18,32,4.44,71
Adagio,Dominate,2006,"Progressive Metal, Power Metal, Neo Classical",4.20,167,4.26,897
Adagio,Sanctus Ignis,2001,"Progressive Metal, Power Metal, Neo Classical",4.39,146,4.51,958
Adam Holzman & Brave New World,The Big Picture,1997,"Jazz Fusion, Instrumental",3.95,32,3.86,68
Adamantra,Revival,2009,"Progressive Metal, Power Metal",4.00,5,3.90,15
Adamantra,For Ever,2006,"Progressive Metal, Power Metal",4.02,2,4.25,7
Adamantra,Act 2: Silent Narratives,2014,"Progressive Metal, Power Metal",4.10,15,4.40,36
Adonikam,Adonikam,2008,"Progressive Rock, Symphonic",3.90,39,3.74,49
Adramelch,Lights from Oblivion,2012,Progressive Metal,0.00,0,0.00,1
Adramelch,Opus,2015,Progressive Metal,0.00,0,0.00,3
Adrian Galysh,Tone Poet,2013,"Guitar Oriented Metal, Symphonic",4.01,2,4.00,7
Adrian Weiss,Easy Game,2014,"Progressive Metal,  Guitar Oriented Metal, Neo Classical, Instrumental",4.01,4,4.00,5
Advent,Cantus Firmus,2006,"Eclectic Prog, Progressive Rock, Gentle Giant & Influenced",4.00,51,3.98,117
Advent,Silent Sentinel,2015,"Eclectic Prog, Progressive Rock, Gentle Giant & Influenced",4.00,12,3.96,24
Advent Horizon,Immured,2011,Heavy Prog,4.05,8,4.25,22
Adventure,Beacon of light,2009,"Progressive Rock, Symphonic",3.94,18,3.72,107
Adventure,Caught in the Web,2014,"Progressive Rock, Symphonic",3.99,6,3.75,15
Aeon Spoke,Aeon Spoke,2004,"Progressive Rock, AOR",3.95,16,3.75,52
Aeon Spoke,Aeon Spoke,2004,Progressive Metal,4.01,3,4.00,34
Aeon Zen,Enigma,2013,Progressive Metal,3.97,31,3.89,48
Aeon Zen,Ephemera,2014,Progressive Metal,4.01,2,4.00,11
Aeon Zen,Self Portrait,2013,Progressive Metal,4.07,8,4.37,22
Aeon Zen,The Face Of The Unknown,2010,Progressive Metal,4.07,13,4.27,38
Aeon Zen,A Mind's Portrait,2009,Progressive Metal,4.10,105,4.14,458
Aesma Daeva,The Thallasa Mixes,2008,"Progressive Metal, Symphonic, Goth Doom, Female Fronted",4.06,51,4.11,215
Aethellis,Aethellis,2003,"Progressive Rock, Symphonic, Genesis & Influenced",4.00,9,3.89,17
Afenginn,Lux,2013,"Progressive Rock, Folk/Celtic",3.96,12,3.71,17
Affector,Harmagedon,2012,"Progressive Metal, Symphonic, Christian",0.00,0,0.00,0
After,Endless Lunatic,2005,"Progressive Rock, Crossover Prog",3.89,28,3.68,94
After,Hideout,2008,"Progressive Rock, Crossover Prog",4.22,114,4.32,416
After Forever,My Choice - The Evil That Men Do,2003,"Progressive Metal, Symphonic, Goth Doom, Female Fronted",4.04,7,4.21,65
After Forever,Prison Of Desire,2000,"Progressive Metal, Symphonic, Goth Doom, Female Fronted",4.07,82,4.10,423
After Forever,Remagine,2005,"Progressive Metal, Symphonic, Goth Doom, Female Fronted",4.12,120,4.16,931
After Forever,Decipher,2001,"Progressive Metal, Symphonic, Goth Doom, Female Fronted",4.12,72,4.19,331
After Forever,Exordium,2003,"Progressive Metal, Symphonic, Goth Doom, Female Fronted",4.14,34,4.32,212
After Forever,Invisible Circles,2004,"Progressive Metal, Symphonic, Goth Doom, Female Fronted",4.15,62,4.25,486
After Forever,After Forever,2007,"Progressive Metal, Symphonic, Goth Doom, Female Fronted",4.27,141,4.37,814
After The Fall,kNOwleDGE,2005,"Progressive Rock, AOR",3.97,11,3.77,91
Age Of Artemis,The Waking Hour,2014,Melodic Metal. Power Metal,4.00,4,3.88,14
Age Of Nemesis,Psychogeist,2006,"Progressive Metal, Technical DTI",4.11,48,4.21,153
Age Of Nemesis,Internet Covers,2003,"Progressive Metal, Technical DTI, Cover Songs",4.16,47,4.31,183
Age Of Nemesis,Terra Incognita,2007,"Progressive Metal, Technical DTI",4.31,136,4.42,930
Age Of Silence,Acceleration,2005,"Progressive Metal, Technical Metal, Dark",4.03,36,4.06,113
Agents of Mercy,Dramarama,2010,"Neo-Prog, Progressive Rock",3.87,67,3.76,167
Agents Of Mercy,The Fading Ghosts Of Twilight,2009,"Neo-Prog, Progressive Rock",3.91,87,3.86,273
Agents Of Mercy,The Black Forest,2011,"Neo-Prog, Progressive Rock",4.00,44,3.99,73
Aghora,Aghora,1999,"Progressive Metal, Technical Metal, Female Fronted, Eastern/Ethnic Influence",3.96,39,3.88,114
Aghora,Formless,2006,"Progressive Metal, Technical Metal, Female Fronted, Eastern/Ethnic Influence",4.23,199,4.29,706
Agora,Segundo Pasado,2001,"Progressive Metal, Technical DTI, Non-English Language",3.97,13,3.81,41
Agora,Zona De Silencio,2005,"Progressive Metal, Technical DTI, Non-English Language",3.98,31,3.94,84
Agora (US),Voyager EP,2012,"Progressive Metal, Heavy Prog-Fusion, Instrumental",4.01,6,4.00,15
Agusa,Högtid,2014,"Psychedelic Rock, Jam, Instrumental",4.03,10,4.10,15
Agusa,Två,2015,"Psychedelic Rock, Jam, Instrumental",4.04,3,4.50,3
Ain Soph,A Story Of Mysterious Forest,1980,"Progressive Rock, Symphonic, Jazz Fusion, Instrumental",0.00,0,0.00,0
Aina,Days Of Rising Doom,2003,"Progressive Metal, Power Metal, Symphonic, Rock Opera",3.99,43,3.95,190
Airbag,Sounds That I Hear,2007,"Progressive Rock, Space Rock, PT Influenced",3.96,60,3.91,232
Airbag,All Rights Removed,2011,"Progressive Rock, Space Rock, PT Influenced",3.97,16,3.84,29
Airbag,The Greatest Show On Earth,2013,"Progressive Rock, Space Rock, PT Influenced",4.04,5,4.30,22
Aisles,In Sudden Walks,2009,"Progressive Rock, Neo-Prog, Non-English Language",4.02,50,4.02,298
Ajalon,This Good Place,2009,"Progressive Rock, Symphonic, Christian",4.02,48,4.03,305
Akashic,Timeless Realm,2002,"Progressive Metal, Symphonic",3.99,11,3.86,24
Akashic,A Brand New Day,2005,"Progressive Metal, Symphonic",4.15,64,4.25,294
Akord,Carry the Sound,2013,Heavy Prog,4.04,12,4.17,15
Al Di Meola,This Is Jazz Vol 31,1999,"Jazz Fusion, Guitar Oriented Rock, Eastern/Ethnic Influence, Instrumental",3.84,41,3.63,47
Al Di Meola,Land Of The Midnight Sun,1976,"Jazz Fusion, Guitar Oriented Rock, Eastern/Ethnic Influence, Instrumental",3.85,66,3.73,169
Al Di Meola,Electric Rendezvous,1982,"Jazz Fusion, Guitar Oriented Rock, Eastern/Ethnic Influence, Instrumental",3.91,46,3.80,123
Al Di Meola,"Tour De Force - ""Live""",1982,"Jazz Fusion, Guitar Oriented Rock, Eastern/Ethnic Influence, Instrumental",3.92,33,3.77,40
Al Di Meola,Casino,1978,"Jazz Fusion, Guitar Oriented Rock, Eastern/Ethnic Influence, Instrumental",4.02,78,4.02,158
Al Di Meola,Elegant Gypsy,1977,"Jazz Fusion, Guitar Oriented Rock, Eastern/Ethnic Influence, Instrumental",4.13,114,4.18,409
Alan Morse,Four O'Clock And Hysteria,2007,"Guitar Oriented Rock, Jazz Fusion, Instrumental",3.91,73,3.84,176
Alan Parsons Project,I Robot,1977,"Crossover Prog, Symphonic",3.87,48,3.73,53
Alan Parsons Project,Tales Of Mystery And Imagination,1976,"Crossover Prog, Symphonic",4.14,75,4.22,269
Alan Simon,Excalibur II: L'Anneau Des Celtes,2007,"Progressive Rock, Symphonic, Folk/Celtic",3.86,36,3.64,62
Alarion,Waves Of Destruction,2016,Progressive Metal,4.00,1,3.50,6
Alas,Alas,1976,"Progressive Rock, Prog-Fusion",3.91,16,3.59,26
Alberto Rigoni,Rebirth,2011,"Heavy Prog, Prog-Fusion, Instrumental",3.83,42,3.61,202
Alberto Rigoni,Something Different,2008,"Heavy Prog, Prog-Fusion, Instrumental",3.88,55,3.75,124
Alberto Rigoni,Overloaded,2014,Heavy Prog,4.01,4,4.00,4
Albion,Broken Hopes,2007,"Neo-Prog, Progressive Rock",3.90,22,3.64,33
Albion,The Indefinite State Of Matter,2012,"Neo-Prog, Progressive Rock",4.03,5,4.20,10
Albion,Unsongs,2015,"Neo-Prog, Progressive Rock",4.04,3,4.50,7
Alcatrazz,Live Sentence,1984,Metal,3.98,5,3.60,73
Alessandro Benvenuti,Sonic Design,2002,"Jazz Fusion, Guitar Oriented Rock, Instrumental",3.90,30,3.72,45
Alessandro Bertoni,Keystone,2013,"Heavy Prog-Fusion, Instrumental",4.00,20,3.98,33
Alessandro Bertoni,Keystone,2013,"Heavy Prog-Fusion, Instrumental",4.00,20,3.98,34
Alex Argento,EGO.,2007,"Planet X and Influenced Heavy Fusion, Progressive Metal, Instrumental",3.94,126,3.91,361
Alex Carpani,Waterline,2005,"Progressive Rock, Symphonic Italian School, Instrumental",4.05,51,4.08,178
Alex Lifeson,Victor,1996,"Prog Related, Rush and Rush Influenced",4.02,67,4.02,205
Alex Masi,Theory of Everything,2010,"Guitar Oriented Metal, Shred, Instrumental",3.91,53,3.81,51
Alitheia,Chthonick,2008,"Progressive Rock, Experimental",3.83,49,3.65,56
All Too Human,Juggernaut,2012,"Progressive Metal, Fates Warning & Influenced",4.04,43,4.06,150
All Too Human,Entropy,2002,"Progressive Metal, Fates Warning & Influenced",4.06,50,4.11,169
Allan Holdsworth,None Too Soon,1996,"Jazz Fusion, Guitar Oriented Rock",0.00,0,0.00,0
Allan Holdsworth,Hard Hat Area,1994,"Jazz Fusion, Guitar Oriented Rock",3.82,46,3.62,106
Allan Holdsworth,I. O. U.,1982,"Jazz Fusion, Guitar Oriented Rock",3.84,31,3.56,58
Allan Holdsworth,Wardenclyffe Tower,1992,"Jazz Fusion, Guitar Oriented Rock",3.89,24,3.63,64
Allan Holdsworth,Metal Fatigue,1985,"Jazz Fusion, Guitar Oriented Rock",3.99,79,3.98,246
Allen/Lande,The Great Divide,2014,"Progressive Metal, Melodic Metal",4.01,10,4.00,27
Allen/Lande,The Showdown,2010,"Progressive Metal, Melodic Metal",4.16,68,4.26,255
Allen/Lande,The Battle,2005,"Progressive Metal, Melodic Metal",4.23,143,4.30,569
Allen/Lande,The Revenge,2007,"Progressive Metal, Melodic Metal",4.37,150,4.49,555
Alogia,Elegia Balcanica,2014,Progressive Metal,0.00,0,0.00,3
Alogia,Secret Spheres Of Art,2002,Progressive Metal,3.92,32,3.77,135
Also Eden,Think of the Children!,2011,"Neo-prog, Progressive Rock",4.01,3,4.00,9
Also Eden,Differences As Light,2010,"Neo-prog, Progressive Rock",4.01,2,4.00,9
Altera Enigma,Alteration,2006,"Progressive Rock, Instrumental",3.88,41,3.71,142
Altera Enigma,Alteration,2006,"Progressive Metal, Instrumental",4.04,37,4.07,141
Altered Symmetry,Prologue,2011,Progressive Metal,4.02,2,4.25,21
Altura,Mercy,1996,"Progressive Metal, Technical DTI",3.96,18,3.81,27
Amadeus Awad's Eon,The Book of Gates,2014,"Progressive Metal, Power Metal",4.06,4,4.63,10
Amaran's Plight,Voice In The Light,2007,Heavy Prog,4.07,143,4.09,339
Amaseffer,Exodus - Slaves for Life,2008,"Heavy Prog, Symphonic, Eastern/Ethnic Influence",4.37,237,4.45,1041
Amaseffer,Exodus - Slaves for Life,2008,"Heavy Prog, Symphonic, Eastern/Ethnic Influence",4.37,237,4.45,1034
Ambeon,Fate Of A Dreamer,2001,"Progressive Rock, Post Rock, Female Fronted",4.39,287,4.45,1218
Amon Düül II,Yeti,1970,,0.00,0,0.00,0
Amoral,Beneath,2012,Melodic Metal,4.00,5,3.90,15
Amoral,Fallen Leaves & Dead Sparrows,2014,Melodic Metal,4.01,14,4.00,32
Amorphis,My Kantele,1997,Progressive Metal,3.98,19,3.89,53
Amorphis,Far From The Sun,2003,Progressive Metal,3.99,8,3.81,37
Amorphis,Under The Red Cloud,2015,Progressive Metal,4.01,5,4.00,14
Amorphis,Circle,2013,Progressive Metal,4.02,14,4.04,28
Amorphis,Eclipse..,2006,Progressive Metal,4.05,65,4.08,164
Amorphis,Elegy.,1996,Progressive Metal,4.05,31,4.11,92
Amorphis,House Of Sleep,2000,Progressive Metal,4.06,15,4.20,30
Amorphis,Tuonela,1999,Progressive Metal,4.08,26,4.19,158
Amorphis,Skyforger,2009,Progressive Metal,4.12,72,4.19,193
Amorphis,Am Universum,2001,Progressive Metal,4.13,29,4.33,71
Amplifier,Octopus (Part One),2011,"Post Rock, Space Rock",3.88,30,3.65,74
Amplifier,Eternity,2009,"Post Rock, Space Rock",3.89,29,3.69,97
Amplifier,Octopus (Part Two),2010,"Post Rock, Space Rock",3.90,27,3.70,31
Amplifier,Insider,2006,"Post Rock, Space Rock",3.91,51,3.80,107
Amplifier,The Astronaut Dismantles HAL,2005,"Post Rock, Space Rock",3.92,27,3.76,74
Amplifier,Echo Street,2013,"Post Rock, Space Rock",3.94,25,3.78,33
Amplifier,Amplifier,2005,"Post Rock, Space Rock",4.04,54,4.06,121
Amplifier,Mystoria,2014,"Post Rock, Space Rock",4.04,3,4.50,15
An Endless Sporadic,Anything,2014,"Heavy Prog-Fusion, Instrumental",4.01,2,4.00,2
An Endless Sporadic,Anything,2014,"Heavy Prog-Fusion, Instrumental",4.01,2,4.00,3
An Endless Sporadic,The Adventures of Jabubu,2014,"Heavy Prog-Fusion, Instrumental",4.01,1,4.00,2
An Endless Sporadic,The Adventures of Jabubu,2014,"Heavy Prog-Fusion, Instrumental",4.01,1,4.00,2
An Endless Sporadic,Sun of Pearl,2014,"Heavy Prog-Fusion, Instrumental",4.03,2,4.50,2
An Endless Sporadic,Ameliorate,2009,"Heavy Prog-Fusion, Instrumental",4.04,5,4.30,27
An Endless Sporadic,Ameliorate,2009,"Heavy Prog-Fusion, Instrumental",4.04,5,4.30,30
An Endless Sporadic,Sun of Pearl,2014,"Heavy Prog-Fusion, Instrumental",4.05,3,4.67,5
An Endless Sporadic,An Endless Sporadic,2009,"Heavy Prog-Fusion, Instrumental",4.06,19,4.18,45
An Endless Sporadic,An Endless Sporadic,2009,"Heavy Prog-Fusion, Instrumental",4.07,17,4.24,42
An Endless Sporadic,Singles,2014,"Heavy Prog-Fusion, Instrumental",4.08,7,4.50,21
An Endless Sporadic,Singles,2014,"Heavy Prog-Fusion, Instrumental",4.08,7,4.50,14
Anas Ibn Malek,Delusional Thoughts,2013,"Progressive Metal, Shred, Instrumental",4.00,11,3.95,15
Anathema,Serenades,1993,"Post Rock, Dark",0.00,0,0.00,10
Anathema,The Silent Enigma,1995,"Post Rock, Dark",0.00,0,0.00,30
Anathema,Distant Satellites,2014,"Post Rock, Dark",4.02,13,4.04,35
Anathema,Weather Systems,2012,Progressive Rock,4.02,62,4.03,149
Anathema,Alternative 4,2003,"Post Rock, Dark",4.03,58,4.03,209
Anathema,Hindsight,2008,"Post Rock, Dark",4.08,27,4.20,66
Anathema,A Fine Day To Exit,2001,"Post Rock, Dark",4.09,46,4.16,118
Anathema,Judgement,1999,"Post Rock, Dark",4.18,32,4.44,109
Anathema,Eternity.,1996,"Post Rock, Dark",4.18,45,4.37,113
Anathema,A Natural Disaster,2003,"Post Rock, Dark",4.19,94,4.29,410
Anathema,We're Here Because We're Here,2010,"Post Rock, Dark",4.21,81,4.33,281
Anaxes,Antithesis,2010,Progressive Metal,4.07,47,4.13,161
Ancient Bards,A New Dawn Ending,2014,"Power Metal, Symphonic, Goth Doom, Female Fronted",3.98,11,3.82,12
"Anders Johansson, Jens Johannson, Allan Holdsworth",Heavy Machinery,1996,"Prog-Fusion, Jazz Fusion, Instrumental",3.85,69,3.72,296
"Anderson, Bruford, Wakeman, Howe","Anderson, Bruford, Wakeman, Howe",1989,"Progressive Rock, Symphonic, Yes & Yes Influenced",3.91,76,3.85,235
AndersonPonty Band,Better Late Than Never,2015,"Progressive Rock, Cover Songs",4.05,11,4.23,14
Andre Matos,Time To Be Free,2007,"Progressive Metal, Power Metal",4.13,42,4.27,68
Andromeda,Manifest Tyranny,2011,"Progressive Metal, Melodic Metal, Technical DTI",4.22,117,4.30,423
Andromeda,Extension Of The Wish,2001,"Progressive Metal, Melodic Metal, Technical DTI",4.24,73,4.39,135
Andromeda,Extension Of The Wish - Final Extension,2001,"Progressive Metal, Melodic Metal, Technical DTI",4.26,142,4.35,536
Andromeda,Chimera,2006,"Progressive Metal, Melodic Metal, Technical DTI",4.32,173,4.40,1005
Andromeda,The Immunity Zone,2008,"Progressive Metal, Melodic Metal, Technical DTI",4.32,196,4.40,797
Andromeda,II = I,2003,"Progressive Metal, Melodic Metal, Technical DTI",4.39,167,4.50,904
Andy James,Psychic Transfusion EP,2013,"Progressive Metal, Technical, Instrumental, Guitar Oriented Metal, Shred",4.07,17,4.24,50
Andy Timmons Band,Resolution,2006,"Guitar Oriented Rock, Instrumental",3.88,41,3.71,56
Andy West with Rama,Rama 1,2002,"Jazz Fusion,  LTE/Planet X and Influenced, Instrumental",3.87,31,3.65,101
Anekdoten,Gravity,2003,"Heavy Prog, Instrumental, King Crimson & Influenced Contemporary",3.89,24,3.65,46
Anekdoten,Until All The Ghosts Are Gone,2015,Progressive Rock,3.94,11,3.59,21
Anekdoten,Vemod,1993,"Heavy Prog, Instrumental, King Crimson & Influenced Contemporary",3.99,48,3.97,104
Anekdoten,A Time of Day,2007,"Heavy Prog, Instrumental, King Crimson & Influenced Contemporary",4.00,67,3.99,266
Anekdoten,Chapters - Disc 1,2009,"Heavy Prog, Instrumental, King Crimson & Influenced Contemporary",4.05,10,4.25,54
Anekdoten,From Within,1999,"Heavy Prog, Instrumental, King Crimson & Influenced Contemporary",4.08,32,4.19,85
Angel Of Eden,The End Of Never,2007,"Progressive Metal, Power Metal, Neo Classical",3.89,35,3.71,60
Angel Vivaldi,Revelations,2008,"Guitar Oriented Metal, Shred,  Instrumental",4.01,2,4.00,4
Angel Vivaldi,The Speed of Dark,2010,"Guitar Oriented Metal, Shred,  Instrumental",4.03,8,4.13,10
Angel Vivaldi,"Away With Words, Part 1",2014,"Guitar Oriented Metal, Shred,  Instrumental",4.05,9,4.22,13
Änglagård,Epilog,1994,"Progressive Rock, Symphonic",3.95,18,3.78,52
Änglagård,Prog Pa Svenska - Live In Japan [Disc 2],2014,"Progressive Rock, Symphonic",4.08,7,4.50,11
Änglagård,Buried Alive,1996,"Progressive Rock, Symphonic",4.08,66,4.14,144
Änglagård,Viljars Öga,2012,"Progressive Rock, Symphonic",4.09,47,4.16,108
Änglagård,Prog Pa Svenska - Live In Japan [Disc 1],2014,"Progressive Rock, Symphonic",4.14,9,4.83,30
Änglagård,Hybris,1992,"Progressive Rock, Symphonic",4.28,88,4.43,543
Angra,Secret Garden,2015,Progressive Metal,0.00,0,0.00,0
Angra,Rebirth World Tour - Live In Sao Paulo CD2,2003,"Progressive Metal, Power Metal, Cover Songs",3.95,29,3.84,73
Angra,Freedom Call,1996,"Progressive Metal, Power Metal",3.96,14,3.75,64
Angra,Aurora Consurgens,2006,"Progressive Metal, Power Metal",4.01,38,4.00,113
Angra,Rebirth World Tour - Live In Sao Paulo CD1,2003,"Progressive Metal, Power Metal",4.04,34,4.07,81
Angra,Fireworks,1998,"Progressive Metal, Power Metal",4.04,33,4.08,117
Angra,Angels Cry,1999,"Progressive Metal, Power Metal",4.06,38,4.12,134
Angra,Temple Of Shadows,2004,"Progressive Metal, Power Metal",4.17,94,4.24,460
Angra,Holy Land,1996,"Progressive Metal, Power Metal",4.20,69,4.33,325
Angtoria,God Has A Plan For Us All,2006,"Progressive Metal, Symphonic, Goth Doom, Female Fronted",4.01,161,4.01,627
Anima Morte,Upon Darkened Stains,2014,"Progressive Rock, Symphonic",4.03,8,4.13,16
Anima Mundi,I Me Myself,2016,Progressive Metal,0.00,0,0.00,0
Anima Mundi,The Way,2010,"Progressive Rock, Symphonic, Folk/Celtic",4.00,15,3.97,19
Animals As Leaders,Weightless,2011,"Progressive Metal, Prog-Fusion, Technical Metal, Instrumental",4.02,58,4.03,119
Animals As Leaders,The Joy of Motion,2014,"Progressive Metal, Prog-Fusion, Technical Metal, Instrumental",4.16,32,4.39,90
Animals As Leaders,Animals As Leaders,2009,"Progressive Metal, Prog-Fusion, Technical Metal, Instrumental",4.36,273,4.42,1282
Animations,Private Ghetto,2013,"Progressive Metal, Prog-Fusion, Technical DTI, Instrumental",4.01,4,4.00,18
Animations,Reset Your Soul,2009,"Progressive Metal, Prog-Fusion, Technical DTI",4.18,117,4.25,410
Animations,Non-album Track,2008,"Progressive Metal, Prog-Fusion, Technical DTI",4.28,44,4.57,112
Animations,Animations,2007,"Progressive Metal, Prog-Fusion, Technical DTI, Instrumental",4.40,275,4.47,1033
Annot Rhül,Who Needs Planes or Time Machines,2006,Progressive Rock,0.00,0,0.00,4
Annot Rhül,Lost in the Woods,2007,Progressive Rock,4.00,4,3.88,13
Annot Rhül,Leviathan,2014,Progressive Rock,4.06,6,4.42,18
